date,mslp,slhf,sshf,ssr,str,z500,z850,w10,wz500,wz850,sst
1982-02-21,101367.555,-187713.31,-5531.717,796664.2,-187070.89,57453.97,14881.981,5.420537,18.6279,3.3424811,24.672499
1982-02-22,101196.78,-149993.66,3607.7495,775177.1,-176336.14,57401.883,14779.239,5.972737,16.918446,2.892313,24.185
1982-02-23,101082.086,-102792.6,-6411.0996,830582.94,-224330.28,57316.715,14689.862,2.5790963,18.078667,6.911,24.189999
1982-02-24,101381.05,-389976.38,-57048.492,679727.9,-143080.38,57256.71,14812.821,8.378398,19.153093,1.6303952,23.7775
1982-02-25,101610.77,-706692.5,-63446.355,611305.2,-187056.84,57264.047,14938.364,10.94875,19.933681,3.6860447,22.855
1982-02-26,101515.375,-476487.0,6055.4434,753578.7,-199061.98,57233.293,14930.585,7.7591615,20.2136,0.3556779,22.904999
1982-02-27,101358.13,-91008.18,-1193.5857,843355.8,-209856.22,57158.86,14874.072,3.3329,21.926548,4.8096056,23.4375
1982-02-28,101460.65,-214364.27,-28809.494,734550.94,-189290.36,57127.15,14902.387,6.3867326,20.842321,2.2259264,23.6525
1982-03-01,101582.53,-384073.62,-30013.354,683774.7,-176355.95,57140.605,14954.096,8.317203,20.757978,2.5002651,23.7975
1982-03-02,101643.76,-573099.7,-53838.98,597094.2,-133975.33,57144.508,14973.709,11.32983,20.17712,4.739027,23.6275
1982-03-03,101573.734,-429573.8,2157.0032,736756.75,-180595.02,57345.58,14978.335,9.508852,8.881199,3.074301,23.1775
1982-03-04,101356.7,-49715.18,4574.13,890118.5,-232891.0,57450.418,14934.173,4.1555123,7.658031,5.8707767,23.2
1982-03-05,101266.31,-41659.94,-1174.7754,903938.56,-221491.31,57421.895,14850.653,1.9954029,15.092928,7.1921062,23.545
1982-03-06,101274.81,-65067.67,-4473.636,752991.1,-189263.92,57414.16,14856.573,2.7480667,15.466763,7.658173,23.9575
1982-03-07,101348.664,-55847.727,-1917.7832,891857.56,-211242.25,57476.617,14914.545,2.717224,13.237686,5.4149218,24.2375
1982-03-08,101405.05,-116568.375,-2623.1704,839936.94,-188056.31,57404.234,14921.232,4.3721824,16.343868,3.2743657,24.1675
1982-03-09,101422.74,-178633.33,-9759.337,770933.7,-174400.81,57406.816,14917.19,4.231976,17.021591,3.873381,24.28
1982-03-10,101409.34,-246727.83,-15327.193,826642.8,-199042.17,57535.098,14942.387,5.343015,16.083359,1.4373851,24.335
1982-03-11,101419.375,-123913.17,-5578.7427,852413.6,-220674.39,57665.33,15004.529,3.5655506,11.042538,2.7815537,26.149998
1982-03-12,101427.28,-126152.79,-10154.354,915642.8,-257550.53,57719.39,15029.155,3.4376986,10.401493,1.645063,26.07
